objective,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
ips,-0.14839890599250793,1.0892678499221802,-1.687227725982666,-0.3007185161113739,0.15094725787639618
snips,-0.22915862500667572,0.963234543800354,-1.546727180480957,0.05996386334300041,-0.5668198466300964
dr,-0.1997387558221817,0.9016539454460144,-1.5385792255401611,0.039167359471321106,-0.5637604594230652
mis,-0.007953868247568607,0.6758666038513184,-1.3407313823699951,-1.0493935346603394,-0.7908991575241089
