order_sequence_raw,order_round,n_obs
0,0,20556
1,1,17975
2,2,16747
3,3,15990
4,4,15380
5,5,14749
6,6,14134
7,7,13528
8,8,12784
9,9,12004
10,10,11072
11,11,10181
12,12,9296
13,13,8529
14,14,7797
15,15,7124
16,16,6470
17,17,5839
18,18,5234
19,19,4754
20,20,4287
21,21,3907
22,22,3527
23,23,3162
24,24,2843
25,25,2580
26,26,2350
27,27,2140
28,28,1943
29,29,1788
