dataset,n_test_rows,logloss,brier,auc,cal_gap_q10,ece_q10
attempts,26033,0.2509229660357906,0.07135478596946512,0.8197237623454463,0.02120881117389555,0.021202874437576968
skill_builder,47246,0.5278168017139536,0.1756544560871901,0.7125479686909046,0.03244744051076657,0.03244102666695072
assistments8000,9651,0.5673768160847426,0.19068288452443724,0.7871023090760861,0.11121776388648281,0.11122362479404496
pix,298031,0.5156822105524594,0.17427099663805387,0.8127100770272404,0.028047629027968778,0.02804747652838834
