dataset,first_round,last_round,first_ips,last_ips,delta_ips,first_snips,last_snips,delta_snips,first_dr,last_dr,delta_dr,first_mis,last_mis,delta_mis,first_dm,last_dm,delta_dm
assistments8000,0,49,0.5754697322845459,0.6500879526138306,0.07461822032928467,0.5754696726799011,0.6434895992279053,0.06801992654800415,0.5756188035011292,0.6409251689910889,0.06530636548995972,0.5754697322845459,0.6509203314781189,0.075450599193573,0.6162848472595215,0.6477392315864563,0.031454384326934814
attempts,0,29,1.6900802850723267,2.3327066898345947,0.6426264047622681,1.693395733833313,2.1549253463745117,0.46152961254119873,1.7226592302322388,2.1303043365478516,0.4076451063156128,1.6900802850723267,2.2560200691223145,0.5659397840499878,1.6446281671524048,2.0080080032348633,0.3633798360824585
pix,0,29,0.32429471611976624,1.7447526454925537,1.4204579293727875,0.32429465651512146,2.189135789871216,1.8648411333560944,0.37365761399269104,2.1467580795288086,1.7731004655361176,0.32429471611976624,2.14329195022583,1.8189972341060638,0.3622483015060425,2.154909133911133,1.7926608324050903
skill_builder,0,49,0.661282479763031,0.8755964636802673,0.21431398391723633,0.6612824201583862,0.8761141896247864,0.21483176946640015,0.6568567156791687,0.8716046810150146,0.21474796533584595,0.661282479763031,0.8781341314315796,0.21685165166854858,0.8233738541603088,0.882247269153595,0.05887341499328613
